GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/157,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,DOM,Dominican Republic,,,,,,,,GHE000,All Causes,,,,,"34,618",34618.48047,,,,,
WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,PUBLISHED,Published,,2012,2012,,AMR,Americas,,,2012,2012,,,DOM,Dominican Republic,,,,,,,,GHE060,Noncommunicable diseases,,,,,50,50.00000,,,,,
WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,PUBLISHED,Published,,2012,2012,,AMR,Americas,,,2012,2012,,,DOM,Dominican Republic,,,,,,,,GHE151,Injuries,,,,,19,19.00000,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,DOM,Dominican Republic,,,,,BTSX,Both sexes,,,,,,,,215,215.08080,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,DOM,Dominican Republic,,,,,MLE,Male,,,,,,,,262,262.14780,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,DOM,Dominican Republic,,,,,FMLE,Female,,,,,,,,171,170.76220,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,DOM,Dominican Republic,,,,,BTSX,Both sexes,,,,,,,,218,217.56690,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2009,2009,,AMR,Americas,,,2009,2009,,,DOM,Dominican Republic,,,,,MLE,Male,,,,,,,,230,229.76350,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2009,2009,,AMR,Americas,,,2009,2009,,,DOM,Dominican Republic,,,,,FMLE,Female,,,,,,,,139,139.43440,,,,,
